G3_Anchor,Lineage,BuddyID,ChildScreenName
0,swimdrinkfish,swimdrinkfish:LisaYaxiXing,58640564,LisaYaxiXing
0,WillFryonic,WillFryonic:PatsKarvelas,95091601,PatsKarvelas
1,WillFryonic,WillFryonic:TimWattsMP,14294400,TimWattsMP
0,AdamMarsters,AdamMarsters:dryadusingh,79715929,dryadusingh
0,CapitalCityCody,CapitalCityCody:AndrewBrownAU,467951741,AndrewBrownAU
0,EmGrovesy,EmGrovesy:AndrewBrownAU,467951741,AndrewBrownAU
1,EmGrovesy,EmGrovesy:PatsKarvelas,95091601,PatsKarvelas
0,CarelMohn25,CarelMohn25:Pri_Borpujari,1107443437,Pri_Borpujari
1,CarelMohn25,CarelMohn25:UNDPNorway,756895303,UNDPNorway
0,sgeorge,sgeorge:JCPSKY,216337553,JCPSKY
1,sgeorge,sgeorge:KentuckyRAG,251950200,KentuckyRAG
2,sgeorge,sgeorge:louisvillemayor,244123121,louisvillemayor
3,sgeorge,sgeorge:KelseyProud,15504419,KelseyProud
0,1200llc,1200llc:JCPSKY,216337553,JCPSKY
1,1200llc,1200llc:louisvillemayor,244123121,louisvillemayor
0,UTNP,UTNP:okonogie,901270711,okonogie
0,HeatherS_25,HeatherS_25:amyguth,5708702,amyguth
0,UrsulaPerano,UrsulaPerano:byDavidGardner,36129624,byDavidGardner
0,SiobhanFTB,SiobhanFTB:crippledscholar,89115813,crippledscholar
1,SiobhanFTB,SiobhanFTB:RafiLetzter,1684237219,RafiLetzter
2,SiobhanFTB,SiobhanFTB:GalopUK,395368385,GalopUK
0,adriennecutway,adriennecutway:kathrynvarn,157814573,kathrynvarn
0,AshleyPCollins,AshleyPCollins:usatodayvideo,59249179,usatodayvideo
0,EstephaniCano,EstephaniCano:MariahCBlake,454098126,MariahCBlake
1,EstephaniCano,EstephaniCano:edokeefe,16930125,edokeefe
2,EstephaniCano,EstephaniCano:isaacleep,216695058,isaacleep
0,amber_dowling,amber_dowling:carolineframke,159199125,carolineframke
0,melissadahl,melissadahl:megkesh,1287251676,megkesh
1,melissadahl,melissadahl:MariahCBlake,454098126,MariahCBlake
2,melissadahl,melissadahl:mariayagoda,377075543,mariayagoda
3,melissadahl,melissadahl:jennifer_weiss,59151932,jennifer_weiss
0,BrianJBarth,BrianJBarth:michaellista,24652449,michaellista
0,mitchsunderland,mitchsunderland:jessicabennett,18149142,jessicabennett
1,mitchsunderland,mitchsunderland:baynardwoods,382698473,baynardwoods
0,Paperandiron,Paperandiron:LidoPimienta,78654071,LidoPimienta
0,theblerdgurl,theblerdgurl:gregpak,107773189,gregpak
1,theblerdgurl,theblerdgurl:DennisPerkins5,715228825,DennisPerkins5
0,caj,caj:michaellista,24652449,michaellista
0,LauraBeeston,LauraBeeston:ZosiaBielski,119818938,ZosiaBielski
1,LauraBeeston,LauraBeeston:agotoronto,98963477,agotoronto
2,LauraBeeston,LauraBeeston:DanDelmar,197458714,DanDelmar
3,LauraBeeston,LauraBeeston:HaleyOverland,13132422,HaleyOverland
0,chris_beaver,chris_beaver:KateMedia,195989000,KateMedia
0,monikawarzecha,monikawarzecha:BitchMedia,16314021,BitchMedia
0,purpledocket,purpledocket:mshannabrooks,87490820,mshannabrooks
0,chrisoutcalt,chrisoutcalt:UNHAlumni,41807438,UNHAlumni
0,jonohar,jonohar:ninalasvegas,16345086,ninalasvegas
1,jonohar,jonohar:ninaspringle,15955970,ninaspringle
2,jonohar,jonohar:steph_march,147931936,steph_march
0,DerrickClifton,DerrickClifton:ShiaKapos,20271926,ShiaKapos
1,DerrickClifton,DerrickClifton:ira,20926233,ira
2,DerrickClifton,DerrickClifton:SeveChambers,18393971,SeveChambers
3,DerrickClifton,DerrickClifton:AditiJuneja3,545630206,AditiJuneja3
0,_bradley_cain,_bradley_cain:jessicabennett,18149142,jessicabennett
1,_bradley_cain,_bradley_cain:IWF,16667912,IWF
2,_bradley_cain,_bradley_cain:edokeefe,16930125,edokeefe
0,shaneisland,shaneisland:Pappiness,30726383,Pappiness
1,shaneisland,shaneisland:jessicabennett,18149142,jessicabennett
2,shaneisland,shaneisland:CaseyNeistat,154221292,CaseyNeistat
0,Mosiqi,Mosiqi:TimWattsMP,14294400,TimWattsMP
0,schwartzbCNBC,schwartzbCNBC:Zigmanfreud,558360059,Zigmanfreud
1,schwartzbCNBC,schwartzbCNBC:merica,36890646,merica
2,schwartzbCNBC,schwartzbCNBC:MelissaAFrancis,29515247,MelissaAFrancis
3,schwartzbCNBC,schwartzbCNBC:edokeefe,16930125,edokeefe
0,laurenegambino,laurenegambino:AmandaBecker,233985354,AmandaBecker
1,laurenegambino,laurenegambino:TasneemN,45814173,TasneemN
0,AlexParkerDC,AlexParkerDC:RichEdsonDC,213767250,RichEdsonDC
1,AlexParkerDC,AlexParkerDC:willwilkinson,2568461,willwilkinson
2,AlexParkerDC,AlexParkerDC:USCGouldLaw,114865774,USCGouldLaw
3,AlexParkerDC,AlexParkerDC:benpershing,106514937,benpershing
0,John_Hudson,John_Hudson:PHancocksCNN,86902774,PHancocksCNN
0,NoahShachtman,NoahShachtman:JBomb11,23877481,JBomb11
1,NoahShachtman,NoahShachtman:ranasweis,14482087,ranasweis
2,NoahShachtman,NoahShachtman:AJentleson,17466132,AJentleson
3,NoahShachtman,NoahShachtman:juliareinstein,219718241,juliareinstein
0,Zigmanfreud,Zigmanfreud:KristySwansonXO,45033456,KristySwansonXO
1,Zigmanfreud,Zigmanfreud:IWF,16667912,IWF
2,Zigmanfreud,Zigmanfreud:byDavidGardner,36129624,byDavidGardner
3,Zigmanfreud,Zigmanfreud:TheDCPolitics,4507160241,TheDCPolitics
0,CheriePaq,CheriePaq:PrestonTVNews,599110041,PrestonTVNews
1,CheriePaq,CheriePaq:KatiePavlich,48459553,KatiePavlich
2,CheriePaq,CheriePaq:jameshohmann,24439201,jameshohmann
3,CheriePaq,CheriePaq:BrentScher,34771939,BrentScher
0,sjpshannonland,sjpshannonland:shawnsteel1,17701099,shawnsteel1
0,ANZSOG,ANZSOG:IndigenousX,172652106,IndigenousX
0,ByEichler,ByEichler:sam_vadas,203509091,sam_vadas
1,ByEichler,ByEichler:nadiasdaly,255320178,nadiasdaly
2,ByEichler,ByEichler:bykemp,240968515,bykemp
0,FBAAmedia,FBAAmedia:bykemp,240968515,bykemp
0,NickStoll,NickStoll:sclark_melbs,35362720,sclark_melbs
1,NickStoll,NickStoll:VinceRugari,18885134,VinceRugari
0,beneltham,beneltham:declangooch,154480874,declangooch
1,beneltham,beneltham:JP_Riseborough,308480059,JP_Riseborough
2,beneltham,beneltham:sam_vadas,203509091,sam_vadas
0,gabby_marchant,gabby_marchant:declangooch,154480874,declangooch
1,gabby_marchant,gabby_marchant:bykemp,240968515,bykemp
0,algonzalezlu393,algonzalezlu393:PrestonTVNews,599110041,PrestonTVNews
1,algonzalezlu393,algonzalezlu393:TenaNYCLA,319280559,TenaNYCLA
2,algonzalezlu393,algonzalezlu393:rolandscahill,19865053,rolandscahill
3,algonzalezlu393,algonzalezlu393:IWF,16667912,IWF
0,FuckingVote,FuckingVote:EPinIreland,1008673909,EPinIreland
0,mathver,mathver:davidakaye,586960773,davidakaye
0,mdaumas,mdaumas:ANSYS,33647963,ANSYS
0,AJGuglielmi,AJGuglielmi:MollyLineFNC,233638131,MollyLineFNC
1,AJGuglielmi,AJGuglielmi:ByEichler,1046659700,ByEichler
0,Albumism,Albumism:coreydu,5442642,coreydu
1,Albumism,Albumism:SimoneCosimi,1408543448,SimoneCosimi
0,JenBCLT,JenBCLT:WilsonsWorld,43180237,WilsonsWorld
0,mackensy,mackensy:WilsonsWorld,43180237,WilsonsWorld
0,WeaponizingAnth,WeaponizingAnth:potter_black,60789193,potter_black
1,WeaponizingAnth,WeaponizingAnth:NafeezAhmed,110692399,NafeezAhmed
0,4noura,4noura:IRWorldwide,27855248,IRWorldwide
1,4noura,4noura:almmura,518251805,almmura
0,timtakestime,timtakestime:IWF,16667912,IWF
1,timtakestime,timtakestime:JimLaPorta,2575205850,JimLaPorta
0,TonyAtamanuik,TonyAtamanuik:willwilkinson,2568461,willwilkinson
1,TonyAtamanuik,TonyAtamanuik:Green_Footballs,21785215,Green_Footballs
2,TonyAtamanuik,TonyAtamanuik:ifindkarma,1688,ifindkarma
0,EvaConstantaras,EvaConstantaras:digiphile,1175221,digiphile
1,EvaConstantaras,EvaConstantaras:KelseyProud,15504419,KelseyProud
0,medit8now,medit8now:rolandscahill,19865053,rolandscahill
1,medit8now,medit8now:ifindkarma,1688,ifindkarma
0,MiddleMolly,MiddleMolly:ifindkarma,1688,ifindkarma
0,KelliGrant_news,KelliGrant_news:wordsofwalsh,256241594,wordsofwalsh
1,KelliGrant_news,KelliGrant_news:IWF,16667912,IWF
0,StevenTDennis,StevenTDennis:saksappeal,73981897,saksappeal
0,Ros__Russell,Ros__Russell:ValerieVolco,226595853,ValerieVolco
1,Ros__Russell,Ros__Russell:lynnekodonnell,278532322,lynnekodonnell
0,laurenmechling,laurenmechling:michelleruiz,22840327,michelleruiz
1,laurenmechling,laurenmechling:dansaltzstein,37104983,dansaltzstein
2,laurenmechling,laurenmechling:michaellista,24652449,michaellista
3,laurenmechling,laurenmechling:parisreview,71256932,parisreview
